run_t0_utc,state,site,site_lat,site_lon,grid_iy,grid_ix,grid_lat,grid_lon,lead_min,valid_time_utc,valid_time_ist,ghi_actual_wm2,ghi_pred_wm2,kstar_pred,ghi_cs_wm2,zen_deg,day_mask
2025-12-30T10:45:00+00:00,MH,Naldurg 132kV,17.90712,76.31793,157,127,17.899524688720703,76.3067398071289,75,2025-12-30T12:00:00+00:00,2025-12-30T17:30:00+05:30,7.581560134887695,16.286331176757812,0.2794048190116882,58.28937149047852,84.48650360107422,1.0
2025-12-30T10:45:00+00:00,MH,Naldurg 132kV,17.90712,76.31793,157,127,17.899524688720703,76.3067398071289,90,2025-12-30T12:15:00+00:00,2025-12-30T17:45:00+05:30,0.9573228359222412,21.391263961791992,0.4965683221817016,43.07818984985352,87.69670867919922,1.0
2025-12-30T10:45:00+00:00,MH,Naldurg 132kV,17.90712,76.31793,157,127,17.899524688720703,76.3067398071289,105,2025-12-30T12:30:00+00:00,2025-12-30T18:00:00+05:30,0.0,0.0,0.0,0.0,90.93917083740234,0.0
2025-12-30T11:30:00+00:00,MH,Naldurg 132kV,17.90712,76.31793,157,127,17.899524688720703,76.3067398071289,75,2025-12-30T12:45:00+00:00,2025-12-30T18:15:00+05:30,0.0,0.0,0.0,0.0,94.2103271484375,0.0
2025-12-30T11:30:00+00:00,MH,Naldurg 132kV,17.90712,76.31793,157,127,17.899524688720703,76.3067398071289,90,2025-12-30T13:00:00+00:00,2025-12-30T18:30:00+05:30,0.0,0.0,0.0,0.0,97.5070343017578,0.0
2025-12-30T11:30:00+00:00,MH,Naldurg 132kV,17.90712,76.31793,157,127,17.899524688720703,76.3067398071289,105,2025-12-30T13:15:00+00:00,2025-12-30T18:45:00+05:30,0.0,0.0,0.0,0.0,100.82652282714844,0.0
2025-12-30T11:30:00+00:00,MH,Naldurg 132kV,17.90712,76.31793,157,127,17.899524688720703,76.3067398071289,120,2025-12-30T13:30:00+00:00,2025-12-30T19:00:00+05:30,0.0,0.0,0.0,0.0,104.1663055419922,0.0
2025-12-30T12:30:00+00:00,MH,Naldurg 132kV,17.90712,76.31793,157,127,17.899524688720703,76.3067398071289,75,2025-12-30T13:45:00+00:00,2025-12-30T19:15:00+05:30,0.0,0.0,0.0,0.0,107.52418518066406,0.0
2025-12-30T12:30:00+00:00,MH,Naldurg 132kV,17.90712,76.31793,157,127,17.899524688720703,76.3067398071289,90,2025-12-30T14:00:00+00:00,2025-12-30T19:30:00+05:30,,0.0,0.0,0.0,110.89815521240234,0.0
2025-12-30T12:30:00+00:00,MH,Naldurg 132kV,17.90712,76.31793,157,127,17.899524688720703,76.3067398071289,105,2025-12-30T14:15:00+00:00,2025-12-30T19:45:00+05:30,0.0,0.0,0.0,0.0,114.28640747070312,0.0
2025-12-30T12:30:00+00:00,MH,Naldurg 132kV,17.90712,76.31793,157,127,17.899524688720703,76.3067398071289,120,2025-12-30T14:30:00+00:00,2025-12-30T20:00:00+05:30,,0.0,0.0,0.0,117.68727111816406,0.0
2025-12-30T13:30:00+00:00,MH,Naldurg 132kV,17.90712,76.31793,157,127,17.899524688720703,76.3067398071289,75,2025-12-30T14:45:00+00:00,2025-12-30T20:15:00+05:30,0.0,0.0,0.0,0.0,121.09918975830078,0.0
